at://did:plc:bdmuurfostafkx2chawlgwfm/app.ch.poltr.ballot.argument/7714|CONTRA|0.544|Zu einseitig
at://did:plc:bdmuurfostafkx2chawlgwfm/app.ch.poltr.ballot.argument/10119|CONTRA|0.540|CO2 Preis
at://did:plc:bdmuurfostafkx2chawlgwfm/app.ch.poltr.ballot.argument/9700|CONTRA|0.537|Kernkraft
at://did:plc:bdmuurfostafkx2chawlgwfm/app.ch.poltr.ballot.argument/8651|CONTRA|0.537|Kernenergie fördern
at://did:plc:bdmuurfostafkx2chawlgwfm/app.ch.poltr.ballot.argument/10089|PRO|0.532|Umdenken initiieren
at://did:plc:bdmuurfostafkx2chawlgwfm/app.ch.poltr.ballot.argument/10163|CONTRA|0.529|ich weiss ja dann nicht mehr, wohin mein Geld fliesst
at://did:plc:bdmuurfostafkx2chawlgwfm/app.ch.poltr.ballot.argument/7944|PRO|0.527|Die Wirtschaft und ihre Verantwortlichen schauen nur auf ihren eigenen Profit
at://did:plc:bdmuurfostafkx2chawlgwfm/app.ch.poltr.ballot.argument/8342|PRO|0.524|Junge Generation sensibilisieren
at://did:plc:bdmuurfostafkx2chawlgwfm/app.ch.poltr.ballot.argument/7852|PRO|0.524|Erbe
at://did:plc:bdmuurfostafkx2chawlgwfm/app.ch.poltr.ballot.argument/7343|PRO|0.523|Negatives Feedback-Loop
at://did:plc:bdmuurfostafkx2chawlgwfm/app.ch.poltr.ballot.argument/9943|CONTRA|0.521|Strommangelage kontra E-Mobilität
at://did:plc:bdmuurfostafkx2chawlgwfm/app.ch.poltr.ballot.argument/8378|PRO|0.517|Wechselwirkung bekannter machen
at://did:plc:bdmuurfostafkx2chawlgwfm/app.ch.poltr.ballot.argument/7502|CONTRA|0.512|klare Regeln
at://did:plc:bdmuurfostafkx2chawlgwfm/app.ch.poltr.ballot.argument/7499|PRO|0.510|Gebäudeprogramm als Fortschritt
at://did:plc:bdmuurfostafkx2chawlgwfm/app.ch.poltr.ballot.argument/9489|PRO|0.510|Der freie Markt wird es nicht regeln.
at://did:plc:bdmuurfostafkx2chawlgwfm/app.ch.poltr.ballot.argument/9846|PRO|0.508|Soziale Verträglichkeit im Mittelpunkt
at://did:plc:bdmuurfostafkx2chawlgwfm/app.ch.poltr.ballot.argument/9843|CONTRA|0.504|Soziale Verträglichkeit
at://did:plc:bdmuurfostafkx2chawlgwfm/app.ch.poltr.ballot.argument/9735|CONTRA|0.498|Falsches Signal: Umweltsünder werden belohnt, Vernüftige bestraft
at://did:plc:bdmuurfostafkx2chawlgwfm/app.ch.poltr.ballot.argument/7216|CONTRA|0.497|Erneuerbare Energie auf den Dächern der Schweiz
at://did:plc:bdmuurfostafkx2chawlgwfm/app.ch.poltr.ballot.argument/8159|CONTRA|0.492|Vorhandene Technologien werden nicht gefördert.
at://did:plc:bdmuurfostafkx2chawlgwfm/app.ch.poltr.ballot.argument/7125|PRO|0.490|Einheitlich
at://did:plc:bdmuurfostafkx2chawlgwfm/app.ch.poltr.ballot.argument/9814|CONTRA|0.486|Wirklich Menschen gemachter Klimawandel?
at://did:plc:bdmuurfostafkx2chawlgwfm/app.ch.poltr.ballot.argument/9102|CONTRA|0.468|Patente
at://did:plc:bdmuurfostafkx2chawlgwfm/app.ch.poltr.ballot.argument/10251|PRO|0.459|19. September 1991 – ein Weckruf für die Zukunft
at://did:plc:bdmuurfostafkx2chawlgwfm/app.ch.poltr.ballot.argument/10298|PRO|0.459|Immense Möglichkeiten
at://did:plc:bdmuurfostafkx2chawlgwfm/app.ch.poltr.ballot.argument/10013|PRO|0.450|Jede Energie braucht Energie
at://did:plc:bdmuurfostafkx2chawlgwfm/app.ch.poltr.ballot.argument/8444|PRO|0.441|Nachhaltigkeit als Schulfach
at://did:plc:bdmuurfostafkx2chawlgwfm/app.ch.poltr.ballot.argument/9228|CONTRA|0.435|Weniger ist mehr
at://did:plc:bdmuurfostafkx2chawlgwfm/app.ch.poltr.ballot.argument/7222|PRO|0.429|Mittelschicht
at://did:plc:bdmuurfostafkx2chawlgwfm/app.ch.poltr.ballot.argument/9680|PRO|0.412|PV-Anlagen
at://did:plc:bdmuurfostafkx2chawlgwfm/app.ch.poltr.ballot.argument/9751|PRO|0.389|Österreich ohne Atomkraftwerke
at://did:plc:bdmuurfostafkx2chawlgwfm/app.ch.poltr.ballot.argument/7028|PRO|0.370|Zum
at://did:plc:bdmuurfostafkx2chawlgwfm/app.ch.poltr.ballot.argument/7519|CONTRA|0.318|vka
